station,borough,trainno,equipmentno,equipmenttype,serving,ADA,isactive,nonNYCT,shortdescription,linesservedbyelevator,elevatorsgtfsstopid,elevatormrn,stationcomplexid,nextadanorth,nextadasouth,redundant,busconnections,alternativeroute
1 Av,,L,EL293,EL,E 14 St and Avenue A (SW corner) to Canarsie-bound platform,Y,Y,N,Street to Brooklyn-bound platform,L,L06,119,119,"117, L","120, L",0,"M15, M15 SBS, M14A SBS, M14D SBS",If you are on the street: Take a westbound M14A SBS or M14D SBS (E 14 St and 1 Av) to 4 Av for Union Sq-14 St station. Then use elevators for Canarsie-bound L service. If you are on the platform: Take a Canarsie-bound L to Bedford Av. Then transfer across the platform to an 8 Av-bound L to 1 Av.
1 Av,,L,EL292,EL,E 14 St and Avenue A (NW corner) to 8 Av-bound platform,Y,Y,N,Street to 8 Av-bound platform,L,L06,119,119,"117, L","120, L",0,"M15, M15 SBS, M14A SBS, M14D SBS","If you are on the street: Take a West Side-bound M14A SBS or M14D SBS (E 14 St and 1 Av) to 4 Av for Union Sq-14 St station. Then use elevators for 8 Av-bound L service. If you are on the platform: Take an 8 Av-bound L to Union Sq-14 St. Then either: transfer across the platform to a Canarsie-bound L train to 1 Av. Or, use elevators to exit station and take an M14A SBSS or M14D SBS to 1 Av."
125 St,,1,ES103,ES,"125 St & Broadway (SE corner) to mezzanine
",N,Y,N,Street to mezzanine,1,116,306,306,,,0,,
125 St,,1,ES101,ES,mezzanine to 125 St & Broadway (SW corner),N,Y,N,Mezzanine to street,1,116,306,306,,,0,,
125 St,,1,ES102,ES,125 St & Broadway (SW corner) to mezzanine,N,Y,N,Street to mezzanine,1,116,306,306,,,0,,
125 St,,A/C/B/D,EL144,EL,mezzanine to uptown platform,Y,Y,N,Mezzanine to uptown platform,A/C/B/D,A15,153,153,"148, A, C / 389, B, D","315, A, C, B, D",0,"M3, M10, M60 SBS, M100, M101, M104, Bx15","If you are on the mezzanine: Take a downtown A, C, B or D to 59 St-Columbus Circle and use elevators to transfer to an uptown A, C, B or D.
If you are on the platform: Take an uptown A or C to 168 St, and then: Use elevators to transfer to a downtown A or C to 125 St. Or, use elevators to exit the station and take an East Village-bound M3 bus (Broadway and 168 St) to St. Nicholas Av and 125 St or Manhattanville-bound M100 (Broadway and W 168 St) to St. Nicholas Av and 124 St."
125 St,,A/C/B/D,EL143,EL,Mezzanine to downtown platform,Y,N,N,Mezzanine to downtown platform,A/C/B/D,A15,153,153,"148, A, C / 389, B, D","315, A, C, B, D",0,"M3, M10, M60 SBS, M100, M101, M104, Bx15","If you are on the mezzanine: For A/C, take an uptown A or C to 168 St and use elevators to transfer to a downtown A or C. For B/D, take an uptown B or D to 161 St-Yankee Stadium and use elevators to transfer to a downtown B or D.
If you are on the platform: Take a downtown A, C, B or D to 59 St-Columbus Circle and use elevators to transfer to an uptown A, C, B or D to 125 St. Or, take a downtown A, C, B or D to 59 St-Columbus Circle. Use elevators to exit the station and take a Harlem-bound M10 bus (Central Park West and Columbus Circle) to Fredrick Douglass Blvd and 125 St. Proceed one block west to St. Nicholas Av."
125 St,,A/C/B/D,EL142,EL,125 St & St Nicholas Ave (SW corner) to mezzanine for service in both directions,Y,Y,N,Street to mezzanine,A/C/B/D,A15,153,153,"148, A, C / 389, B, D","315, A, C, B, D",0,"M3, M10, M60 SBS, M100, M101, M104, Bx15","If you are on the street: Take a Fort George-bound M3 bus (St Nicholas Av and 124 St) to 167 St for 168 St A/C Station.
For B/D, take a downtown A or C from 168 St to 125 St and transfer. If you're on the platform: Take an uptown A or C to 168 St. Use elevators to exit the station and take an East Village-bound M3 bus (Broadway and 168 St) to St. Nicholas Av and 125 St."
125 St,,4/5/6,EL126,EL,Mezzanine to platforms for service in both directions,Y,Y,N,Mezzanine to platforms,4/5/6,621,392,392,"373, 6 / 389, 4 / 434, 5","401, 6 / 402, 4, 5",0,"M35, M60 SBS, M100, M101, M103, Bx15, M98 (weekdays only; southbound along Park Avenue; northbound along Third Avenue); Metro-North Railroad","If you are on the mezzanine:  Use elevator to exit station and take a downtown M101 or M103 (Lexington Av and E 124 St). Then either:  For Pelham Bay Park-bound 6 service, take bus to 86 St and use elevator to enter station.  Transfer across the platform at 125th St for Woodlawn-bound 4 or Dyre Av-bound 5 service.   For downtown 6 service, take bus to 51st St and use elevators to enter station.  For downtown 4, 5 or 6, take bus to 42 St-Grand Central and use elevators to enter station.  If you are on the Bronx-bound platform:  Take a Woodlawn-bound 4 to 161 St-Yankee Stadium. Then, use elevators to transfer to a downtown 4 to 125 St. Or, take a Dyre Av-bound 5 to 3 Av-149 St. Then, use elevator to exit station and take a Manhattan-bound M125 (Bergen Av and Westchester Av) to 125 St and Lexington Av.  If you are on the downtown platform:  Take a downtown 6 to 51 St. Then either:  Use elevators to transfer to a Pelham Bay Park-bound 6 to 125 St.  Or, use elevators to exit station and take an uptown M101 or M103 (50 St and 3 Av) to 125 St."
125 St,,4/5/6,EL125,EL,"125 St & Lexington Av (NE corner) to mezzanine for service in both directions
",Y,Y,N,Street to mezzanine,4/5/6,621,392,392,"373, 6 / 389, 4 / 434, 5","401, 6 / 402, 4, 5",0,"M35, M60 SBS, M100, M101, M103, Bx15, M98 (weekdays only; southbound along Park Avenue; northbound along Third Avenue); Metro-North Railroad","If you are on the street: Take a downtown M101 or M103 (Lexington Av and E 124 St). Then either:  For Pelham Bay Park-bound 6 service, take bus to 86 St and use elevator to enter station. Transfer across the platform at 125th St for Woodlawn-bound 4 or Dyre Av-bound 5 service.  For downtown 6 service, take bus to 51st St and use elevators to enter station. For downtown 4, 5 or 6, take bus to 42 St-Grand Central and use elevators to enter station. If you are on the mezzanine:  See a station agent to re-enter faregate, then either: Take a Dyre Av-bound 5 to 3 Av-149 St. Use elevator to exit station and take a Manhattan-bound M125 (Bergen Av and Westchester Av) to 125 St and Lexington Av. Or, take a downtown 6 to 51st St. Use elevators to exit station and take an uptown M101 or M103 (50 St and 3 Av) to 125 St. "
135 St,,2/3,EL181,EL,135 St & Lenox Ave (SW corner) to downtown platform,Y,Y,N,Street to downtown platform,2/3,224,438,438,"434, 2","310, 2",0,"M7, M102, Bx33","If you are on the street: Take an uptown 2 to 3 Av-149 St and use elevators to transfer to a downtown 2. Or, take a 14 St-bound M7 bus (Malcolm X Blvd and 135 St) to Columbus Av and 97 St, and transfer to a West Side-bound M96 or M106 bus to Broadway for 96 St 1/2/3. If you are on the platform: See a station agent to re-enter through the faregate and take a downtown 2 or 3 to 96 St, then either: Use elevators to transfer to an uptown 2 or 3 to 135 St. Or, use elevators to exit the station and take a Harlem-bound M7 bus (Amsterdam Av and 96 St) to 135 St."
135 St,,2/3,EL180,EL,135 St & Lenox Ave (NE corner) to uptown and the Bronx-bound platform,Y,Y,N,Street to uptown platform,2/3,224,438,438,"434, 2","310, 2",0,"M7, M102, Bx33","If you are on the street: Take a downtown 2 or 3 to 96 St and use elevators to transfer to an uptown 2 or 3. Or, take a Harlem-bound M7 or M102 bus (Lenox Av and 135 St) to 145 St. Then transfer to a Botanic Garden-bound Bx19 bus to E 149 St and Bergen Av for 3 Av-149 St 2/5. If you are on the platform: Contact a station agent to re-enter through the faregate and take an uptown 2 to 3 Av-149 St, then either: Use elevators to transfer to a downtown 2 to 135 St.  Or, use elevators to exit the station and take a Riverbank Park-bound Bx19 bus (E 149 St and Melrose Av) to W 145 St and Malcolm X Blvd (Lenox Av). Then transfer to a 14 St-bound M7 or East Village-bound M102 bus to 135 St. Or, contact a station agent to re-enter through the faregate and take an uptown 3 to Harlem-148 St. Then remain on the train or wait at the platform for downtown service to 135 St."
14 St,,A/C/E/L,EL223,EL,mezzanine to uptown A/C/E platform,Y,N,N,Mezzanine to uptown A/C/E,A/C/E,A31/L01,115/166,618,"164, A, C, E","167, A, C, E",0,"M14A, M14D, M20 (northbound at 8th Av and southbound at 7 Av), M11 (northbound at 9th Av), M12 (northbound at 8 Av)","This elevator is out of service for replacement. Read on for alternatives:
If you are on the mezzanine: Take a downtown A, C or E to W 4 St and use ramps to transfer to an uptown A, C or E. 
If you are on the uptown A/C/E platform: Take an uptown A to 34 St-Penn Station and transfer across the platform to a downtown A to 14 St."
14 St,,A/C/E/L,EL222,EL,mezzanine to downtown A/C/E platform,Y,Y,N,Mezzanine to downtown A/C/E,A/C/E,A31/L01,115/166,618,"164, A, C, E","167, A, C, E",0,"M14A, M14D, M20 (northbound at 8th Av and southbound at 7 Av), M11 (northbound at 9th Av), M12 (northbound at 8 Av)","Elevators at this station are out of service for replacement. Read on for alternatives:

If you are on the mezzanine:
Exit through the faregates and use the elevator to exit the station. Then take a Lincoln Center-bound M20 bus to 34 St-Penn Station for downtown A, C or E service. 

If you are on the downtown A/C/E platform:
Take a downtown A, C or E to W 4 St and transfer to a 44 St-bound M55 bus (6 Av/Waverly Pl) to 16 St, then transfer to an Abingdon Sq-bound M14A bus or Chelsea Piers-bound M14D bus (14 St and Irving Pl) to 8 Av."
14 St,,A/C/E/L,EL221,EL,8th Ave & 14 St (NW corner) to mezzanine for A/C/E/L service in both directions,Y,Y,N,Street to mezzanine,A/C/E/L,A31/L01,115/166,618,"164, A, C, E","116, L / 167, A, C, E",0,"M14A, M14D, M20 (northbound at 8th Av and southbound at 7 Av), M11 (northbound at 9th Av), M12 (northbound at 8 Av)","If 14 St is your destination: If you are on the street: For L service, take a Lower East Side-bound M14A bus or M14D bus to Irving Pl for 14 St-Union Sq Station. 
If you are on the mezzanine: Take a Brooklyn-bound L to 14 St-Union Sq. Use elevators to exit the station and take an Abingdon Sq-bound M14A bus or Chelsea Piers-bound M14D bus (14 St and Irving Pl) to 8 Av. Or, take an uptown C/E train to 34 St – Penn Station. Use elevators to exit the station and take a 14 St-bound M7 bus or South Ferry-bound M20 bus (7 Av and 34 St) to 7 Av and 14 St. Proceed one block west to 8 Av."
14 St,,F/M/L/1/2/3,EL611,EL,Street (NE corner of 14 St and 6 Av) to F/M uptown mezzanine and L mezzanine.,Y,Y,N,Street to mezzanine to mezzanine.,F/M/L,132/D19/L02,116/229/322,601,"115, L / 12, F, M","117, L / 167, M",0,,"If you are on the street: Cross 6 Av and re-enter the station via EL612 for L, 1/2/3, and downtown F/M.  For uptown F/M service, proceed to 16 St and take a Harlem 147 St-bound M7 to 34 St to access the 34 St - Herald Sq station.

If you are on the F/M uptown mezzanine: Take an uptown F/M to 34 St-Herald Sq station. Then, transfer to a downtown F/M to 14 St. 

If you are on the L lower mezzanine: Use nearby EL609 to access L platform. Then, use EL610 (follow signage for 1/2/3 and downtown F/M) and EL612 to exit the station. For uptown F/M, proceed to 16 St and take a Harlem 147 St-bound M7 to 34 St to access the 34 St - Herald Sq station."
14 St,,F/M/L/1/2/3,EL616,EL,Mezzanine to uptown 1/2/3 platform.,Y,Y,N,Mezzanine to uptown platform.,1/2/3,132/D19/L02,116/229/322,601,"318, 1, 2, 3","327, 1, 2, 3",0,,"If you are on the mezzanine: Take a downtown 1/2/3 to Chambers St and transfer to an uptown 1/2/3. 

If you are on the platform: Take an uptown 1/2/3 to 34 St - Penn Station and transfer to a downtown 1/2/3 to 14 St. "
14 St,,F/M/L/1/2/3,EL615,EL,"SW corner of 14 St & 7 Av to 1/2/3 mezzanine.  ",Y,Y,N,Street-to-mezzanine.,1/2/3,132/D19/L02,116/229/322,601,"318, 1, 2, 3","327, 1, 2, 3",0,,"If you are on the street: Proceed one avenue east to 6 Av and re-enter the station using EL612 (NW corner of 14 St and 6 Av). Use passageway for access to 1/2/3. 

If you are in the mezzanine: Use passageway towards L/F/M to exit via EL612. Proceed one avenue west to 7 Av. "
14 St,,F/M/L/1/2/3,EL614,EL,F/M uptown mezzanine to F/M uptown platform.,Y,Y,N,Mezzanine to platform.,F/M,132/D19/L02,116/229/322,601,"12, F, M","167, M",0,,"If you are on the F/M uptown mezzanine: Exit the station. Then, proceed to 16 St and take a Harlem 147 St-bound M7 to 34 St to access the 34 St - Herald Sq station.

If you are on the F/M uptown platform: Take an uptown F/M to Herald Sq and transfer to a downtown F/M to 14 St."
14 St-Union Sq,,L/N/Q/R/W/4/5/6,EL220,EL,mezzanine to downtown N/Q/R/W platform,Y,N,N,Mezzanine to downtown N/Q/R/W,N/Q/R/W,L03/R20,015/117,602,"12, N, Q, R, W","21, R, W / 26, Q / 27, N",0,"M1, M2, M3 (all northbound), M14A SBS, M14D SBS","This elevator is out of service for replacement. Read on for alternatives: 
If you are on the mezzanine: Take an uptown N, Q, R or W to 34 St-Herald Sq and use elevators to transfer to a downtown N, Q, R or W. Or, exit station and take a westbound M14A or M14D bus to 14 St and 6 Av and transfer to a northbound M7 or M55 bus to 34 St-Herald Sq. If you are on the platform: Take a downtown R or W to City Hall, see agent to cross the platform and transfer to an uptown R or W to 14 St-Union Sq."
14 St-Union Sq,,L/N/Q/R/W/4/5/6,ES258X,ES,14 St & 4th Ave (NE corner) to mezzanine for 4/5/6/L service and access to N/Q/R/W,N,Y,Y,Street to mezzanine,L/N/Q/R,L03/R20,015/117,602,,,0,"M1, M2, M3 (all northbound), M14A SBS, M14D SBS",
14 St-Union Sq,,L/N/Q/R/W/4/5/6,EL219,EL,mezzanine to uptown N/Q/R/W platform,Y,Y,N,Mezzanine to uptown N/Q/R/W,N/Q/R/W,L03/R20,015/117,602,"12, N, Q, R, W","21, R, W / 26, Q / 27, N",0,"M1, M2, M3 (all northbound), M14A SBS, M14D SBS","If you are on the platform: Take an uptown N,Q, R, or W to 34 St-Herald Sq and use elevators
to transfer to a downtown N,Q,R, or W to 14 St-Union Sq. If you are on the mezzanine: Take a downtown R or W (N overnight) to City Hall, see agent to cross the platform and transfer to an uptown R or W (N overnight).Transfer to N or Q at 14 St-Union Sq.
Or, exit station and take a westbound M14A or M14D bus to 14 St and 6 Av and transfer to a northbound M7 or M55 bus to 34 St-Herald Sq."
14 St-Union Sq,,L/N/Q/R/W/4/5/6,EL218,EL,mezzanine to L platform for service in both directions,Y,Y,N,Mezzanine to L platform,L,L03/R20,015/117,602,"115, L","119, L",0,"M1, M2, M3 (all northbound), M14A SBS, M14D SBS","If you are on the mezzanine: Exit through the faregate at the opposite end of the mezzanine and use the elevator to exit the station. Then, for 8 Av, take an M14A or M14D bus to 8 Av. Or, for Brooklyn-bound L, take an M14A or M14D bus to 1 Av. If you are on the platform: Take a Brooklyn-bound L to 1 Av. Then exit station and take an westbound M14A or M14D bus (E 14 St and 1 Av) to 4 Av."
14 St-Union Sq,,L/N/Q/R/W/4/5/6,EL217,EL,4th Ave & 14 St (NE corner) to mezzanine for L/N/Q/R/W service in both directions,Y,Y,N,Street to mezzanine,L/N/Q/R/W,L03/R20,015/117,602,"115, L / 12, N, Q, R, W","119, L / 21, R, W / 26, Q / 27, N",0,"M1, M2, M3 (all northbound), M14A SBS, M14D SBS","If you are on the street: For 8 Av, take an M14A or M14D bus to 8 Av. Or, for Brooklyn-bound L, take an M14A or M14D bus to 1 Av. Then, for N, Q, R or W, take an 8 Av-bound L to 14 St-Union Sq and transfer to an uptown or downtown N, Q, R or W. If you are on the mezzanine: See a station agent to re-enter through faregate and take a Brooklyn-bound L to 1 Av. Then exit station and take a westbound M14A or M14D bus (E 14 St and 1 Av) to 4 Av."
14 St-Union Sq,,L/N/Q/R/W/4/5/6,ES257X,ES,4/5/6 mezzanine to 14 St & 4th Ave (NE corner),N,Y,Y,Mezzanine to street,L/N/Q/R,L03/R20,015/117,602,,,0,"M1, M2, M3 (all northbound), M14A SBS, M14D SBS",
14 St-Union Sq,,L/N/Q/R/W/4/5/6,ES219,ES,L platform to mezzanine for access to street and 4/5/6 & N/Q/R/W service,N,Y,N,L platform to mezzanine,L/N/Q/R/W,L03/R20,015/117,602,,,0,"M1, M2, M3 (all northbound), M14A SBS, M14D SBS",
145 St,,A/C/B/D,ES115,ES,uptown B/D platform to mezzanine for 147 St & St Nicholas Av exit,N,N,N,Uptown B/D to mezzanine,A/C/B/D,A12/D13,151,151,,,0,,
145 St,,A/C/B/D,ES116,ES,uptown B/D platform to mezzanine for 145 St & St Nicholas Av exit,N,Y,N,Uptown B/D to mezzanine,A/C/B/D,A12/D13,151,151,,,0,,
161 St-Yankee Stadium,,B/D/4,ES114,ES,4 upper mezzanine to lower mezzanine for B/D service,N,Y,N,4 mezzanine to B/D mezzanine,B/D,414/D11,219/389,604,,,0,"Bx6, Bx6 SBS, Bx13",
161 St-Yankee Stadium,,B/D/4,ES113,ES,B/D lower mezzanine to upper mezzanine for 4 service,N,Y,N,B/D mezzanine to 4 mezzanine,B/D,414/D11,219/389,604,,,0,"Bx6, Bx6 SBS, Bx13",
161 St-Yankee Stadium,,B/D/4,EL135,EL,mezzanine to B/D platform for Bedford Pk Blvd and Norwood 205 St-bound service,Y,N,N,Mezzanine to Bronx-bound B/D,B/D,414/D11,219/389,604,"215, B, D","153, B, D",0,"Bx6, Bx6 SBS, Bx13","All elevators in this station are out of service for replacement. 
Read on for travel alternatives:

For easiest Manhattan-bound service, use nearby Metro-North station. Present Reduced-Fare MetroCard or OMNY card to conductors at Metro-North station Yankees-East 153 St for free out of system transfer. Travel south on River Av to 157 St, walk west on 157 St to the Metro North station. Travel to 125 St or Grand Central and continue your journey. 

For Bedford Park Blvd-bound B/D, take a Hunts Pt-bound Bx6 Local bus (161 St and River Av) to Concourse Village E (Morris Av). Transfer to a Kingsbridge-bound Bx32 bus and take it to Jerome Av and Kingsbridge Rd for B or D.

For Woodlawn-bound 4, elevators are also out of service at Fordham Rd 4 station. Instead, take a Riverdale-bound Bx1 or Bx1 LTD, or a Kingsbridge-bound Bx2 from Grand Concourse/E 170 St to your destination. You can also transfer to the Bx13, which runs on Jerome Av, at 175 St and Walton Av (just west of Grand Concourse).
"
161 St-Yankee Stadium,,B/D/4,EL134,EL,mezzanine to Manhattan-bound B/D platform,Y,N,N,Mezzanine to Manhattan-bound B/D,B/D,414/D11,219/389,604,"215, B, D","153, B, D",0,"Bx6, Bx6 SBS, Bx13","All elevators in this station are out of service for replacement. 
Read on for travel alternatives:

For easiest Manhattan-bound service, use nearby Metro-North station. Present Reduced-Fare MetroCard or OMNY card to conductors at Metro-North station Yankees-East 153 St for free out of system transfer. Travel south on River Av to 157 St, walk west on 157 St to the Metro North station. Travel to 125 St or Grand Central and continue your journey. 

For Bedford Park Blvd-bound B/D, take a Hunts Pt-bound Bx6 Local bus (161 St and River Av) to Concourse Village E (Morris Av). Transfer to a Kingsbridge-bound Bx32 bus and take it to Jerome Av and Kingsbridge Rd for B or D.

For Woodlawn-bound 4, elevators are also out of service at Fordham Rd 4 station. Instead, take a Riverdale-bound Bx1 or Bx1 LTD, or a Kingsbridge-bound Bx2 from Grand Concourse/E 170 St to your destination. You can also transfer to the Bx132, which runs on Jerome Av, at 175 St and Walton Av (just west of Grand Concourse)."
161 St-Yankee Stadium,,B/D/4,EL133,EL,mezzanine to Manhattan-bound 4 platform,Y,N,N,Mezzanine to Manhattan-bound 4,4,414/D11,219/389,604,"387, 4","392, 4",0,"Bx6, Bx6 SBS, Bx13","All elevators in this station are out of service for replacement. 
Read on for travel alternatives:

For easiest Manhattan-bound service, use nearby Metro-North station. Present Reduced-Fare MetroCard or OMNY card to conductors at Metro-North station Yankees-East 153 St for free out of system transfer. Travel south on River Av to 157 St, walk west on 157 St to the Metro North station. Travel to 125 St or Grand Central and continue your journey. 

For Bedford Park Blvd-bound B/D, take a Hunts Pt-bound Bx6 Local bus (161 St and River Av) to Concourse Village E (Morris Av). Transfer to a Kingsbridge-bound Bx32 bus and take it to Jerome Av and Kingsbridge Rd for B or D.

For Woodlawn-bound 4, elevators are also out of service at Fordham Rd 4 station. Instead, take a Riverdale-bound Bx1 or Bx1 LTD, or a Kingsbridge-bound Bx2 from Grand Concourse/E 170 St to your destination. You can also transfer to the Bx132, which runs on Jerome Av, at 175 St and Walton Av (just west of Grand Concourse)."
161 St-Yankee Stadium,,B/D/4,EL132,EL,B/D mezzanine to Woodlawn-bound 4 platform and mezzanine for Manhattan-bound 4 service,Y,N,N,B/D mezzanine to 4 train,4,414/D11,219/389,604,"387, 4","392, 4",0,"Bx6, Bx6 SBS, Bx13","All elevators in this station are out of service for replacement. 
Read on for travel alternatives:

For easiest Manhattan-bound service, use nearby Metro-North station. Present Reduced-Fare MetroCard or OMNY card to conductors at Metro-North station Yankees-East 153 St for free out of system transfer. Travel south on River Av to 157 St, walk west on 157 St to the Metro North station. Travel to 125 St or Grand Central and continue your journey. 

For Bedford Park Blvd-bound B/D, take a Hunts Pt-bound Bx6 Local bus (161 St and River Av) to Concourse Village E (Morris Av). Transfer to a Kingsbridge-bound Bx32 bus and take it to Jerome Av and Kingsbridge Rd for B or D.

For Woodlawn-bound 4, elevators are also out of service at Fordham Rd 4 station. Instead, take a Riverdale-bound Bx1 or Bx1 LTD, or a Kingsbridge-bound Bx2 from Grand Concourse/E 170 St to your destination. You can also transfer to the Bx132, which runs on Jerome Av, at 175 St and Walton Av (just west of Grand Concourse)."
161 St-Yankee Stadium,,B/D/4,EL131,EL,161 St & River Ave (NE corner) to mezzanine to reach 4/B/D service in both directions,Y,N,N,Street to mezzanine,B/D/4,414/D11,219/389,604,"215, B, D / 387, 4","153, B, D / 392, 4",0,"Bx6, Bx6 SBS, Bx13","All elevators in this station are out of service for replacement. 
Read on for travel alternatives:

For easiest Manhattan-bound service, use nearby Metro-North station. Present Reduced-Fare MetroCard or OMNY card to conductors at Metro-North station Yankees-East 153 St for free out of system transfer. Travel south on River Av to 157 St, walk west on 157 St to the Metro North station. Travel to 125 St or Grand Central and continue your journey. 

For Bedford Park Blvd-bound B/D, take a Hunts Pt-bound Bx6 Local bus (161 St and River Av) to Concourse Village E (Morris Av). Transfer to a Kingsbridge-bound Bx32 bus and take it to Jerome Av and Kingsbridge Rd for B or D.

For Woodlawn-bound 4, elevators are also out of service at Fordham Rd 4 station. Instead, take a Riverdale-bound Bx1 or Bx1 LTD, or a Kingsbridge-bound Bx2 from Grand Concourse/E 170 St to your destination. You can also transfer to the Bx132, which runs on Jerome Av, at 175 St and Walton Av (just west of Grand Concourse)."
168 St,,A/C/1,EL141,EL,mezzanine to downtown A/C platform,Y,Y,N,Mezzanine to downtown A/C,A/C,112/A09,148/302,605,"147, A","153, A",0,"M2, M3, M5, M100, Bx7","If you are on the mezzanine: Take a downtown A or C to 125 St and use elevators to transfer to an uptown A. Or, use the elevator to exit the station and take an uptown Bx7 or M100 bus (St. Nicholas Av and 167 St) to 175 St. Proceed to Ft. Washington Av and 177 St for A service. If you are on the platform: Take an uptown A to 175 St, then either: Transfer across the platform for a downtown A to 168 St. Or, use the elevators to exit the station and proceed to Broadway and 176 St. Take a downtown Bx7 or M100 bus to 168 St or downtown M5 LTD bus to 167 St."
168 St,,A/C/1,EL140,EL,mezzanine to platform for uptown A service and C terminal,Y,Y,N,Mezzanine to uptown A/C,A/C,112/A09,148/302,605,"147, A","153, A",0,"M2, M3, M5, M100, Bx7","If you are on the mezzanine: Take an uptown A to 175 St and transfer across the platform for downtown A. If you are on the platform: Take a downtown A or C to 125 St, then either: Use elevators to transfer to an uptown A or C to 168 St. Or, use elevators to exit the station and take a Ft. George-bound M3 bus (St. Nicholas Av and 124 St) to 167 St."
168 St,,A/C/1,EL139,EL,168 St & St Nicholas Ave (SE corner) to mezzanine for A/C service in both directions and access to non-ADA 1 line elevators,Y,Y,N,Street to mezzanine,A/C,112/A09,148/302,605,"147, A","153, A",0,"M2, M3, M5, M100, Bx7","If you are on the street: Take an uptown Bx7 or M100 bus (St. Nicholas Av and 167 St) to 175 St. Proceed to Ft. Washington Av and 177 St for A service. If you are on the mezzanine: Take an uptown A to 175 St. Use elevators to exit the station and proceed to Broadway and 176 St and take a downtown Bx7 or M100 bus to 168 St, or downtown M5 LTD bus to 167 St."
168 St,,A/C/1,EL114,EL,transfer mezzanine to overpass for 1 train service in both directions,N,Y,N,Mezzanine to 1 train overpass,1,112/A09,148/302,605,,,1,"M2, M3, M5, M100, Bx7",Use an adjacent elevator.
168 St,,A/C/1,EL113,EL,transfer mezzanine to overpass for 1 train service in both directions,N,Y,N,Mezzanine to 1 train overpass,1,112/A09,148/302,605,,,1,"M2, M3, M5, M100, Bx7",Use an adjacent elevator.
168 St,,A/C/1,EL112,EL,transfer mezzanine to overpass for 1 train service in both directions,N,Y,N,Mezzanine to 1 train overpass,1,112/A09,148/302,605,,,1,"M2, M3, M5, M100, Bx7",Use an adjacent elevator.
168 St,,A/C/1,EL111,EL,transfer mezzanine to overpass for 1 train service in both directions,N,Y,N,Mezzanine to 1 train overpass,1,112/A09,148/302,605,,,1,"M2, M3, M5, M100, Bx7",Use an adjacent elevator.
170 St,,4,EL508,EL,Mezzanine to platform for southbound 4 service,Y,Y,N,Mezzanine to southbound service,4,412,387,387,"382, 4","389, 4",0,"Bx11, Bx18","If you are on the mezzanine:
Take a northbound 4 to Fordham Rd and use elevators to transfer to a southbound 4.
Or, use elevator to exit the station and take a Mott Haven-bound Bx1, Bx1 LTD, or Bx2 
from Grand Concourse/E 170 St to Grand Concourse/E 161 St. Then proceed to the 161 
St-Yankee Stadium 4 station at River Ave and E 161 St.
If you are on the platform:
Take a southbound 4 to 161 St-Yankee Stadium.
Then either:
Use elevators to transfer to a northbound 4.
OR
Use elevators to exit the station and take a Riverdale-bound Bx1 or Bx1 LTD, or a 
Kingsbridge-bound Bx2 from Grand Concourse/ E 161 St to Grand Concourse/E 170 St."
170 St,,4,EL507,EL,Mezzanine to platform for northbound 4 service,Y,Y,N,Mezzanine to northbound service,4,412,387,387,"382, 4","389, 4",0,"Bx11, Bx18","If you are on the mezzanine:
Take a southbound 4 to 161 St-Yankee Stadium. Then use elevators to transfer to a 
northbound 4.
Or, use elevator to exit the station and take a Riverdale-bound Bx1 or Bx1 LTD, or a 
Kingsbridge-bound Bx2 from Grand Concourse/E 170 St to Grand Concourse/Fordham 
Rd. Then proceed to the Fordham Rd 4 station at Fordham Rd and Jerome Ave.
If you are on the platform:
Take a northbound 4 to Fordham Rd.
Then either:
Use elevators to transfer to a southbound 4.
OR
Use elevators to exit the station and take a Mott Haven-bound Bx1, Bx1 LTD, or Bx2 
from Grand Concourse/E Fordham Rd to Grand Concourse/E 170 St."
170 St,,4,EL506,EL,170th St & Jerome Av (SE corner) to mezzanine for service in both directions,Y,Y,N,Street to mezzanine,4,412,387,387,"382, 4","389, 4",0,"Bx11, Bx18","If you are on the street:
For service to Fordham Rd, take a Riverdale-bound Bx1 or Bx1 LTD, or a Kingsbridgebound Bx2 from Grand Concourse/E 170 St to Grand Concourse/Fordham Rd. Then 
proceed to Fordham Rd and Jerome Ave.
For southbound service, take a Mott Haven-bound Bx1, Bx1 LTD, or Bx2 from Grand 
Concourse/E 170 St to Grand Concourse/E 161 St. Then proceed to the 161 St-Yankee 
Stadium 4 station at River Ave and E 161 St.
If you are on the mezzanine:
See a station agent to re-enter through the faregate and take a Manhattan-bound 4 to 
161 St-Yankee Stadium. Use elevators to exit the station to take a Riverdale-bound Bx1 
or Bx1 LTD, or a Kingsbridge-bound Bx2 from Grand Concourse/E 161 St to Grand 
Concourse/E 170 St."
175 St,,A,EL124,EL,Mezzanine to platform for service in both directions.,Y,Y,N,Mezzanine to platform,A,A07,147,147,"143, A","148, A",0,"M4, M5, M98 (weekdays only), M100, Bx3, Bx7, Bx11, Bx13, Bx35, Bx36; GWB Bus Station","If you are on the street: At 176 St and Broadway, take a downtown Bx7, M5 or M100 (176 St and Broadway) to 168 St station for A service.
If you are on the platform: Take a downtown A to 168 St. Then use elevators to exit station and take an uptown M5 (167 St and Broadway), uptown M100, or Riverdale-bound Bx7 (167 St and St. Nicholas Av.) to 175 St and Broadway. Proceed one block west to Ft Washington Av."
