station,borough,trainno,equipmentno,equipmenttype,serving,ADA,isactive,nonNYCT,shortdescription,linesservedbyelevator,elevatorsgtfsstopid,elevatormrn,stationcomplexid,nextadanorth,nextadasouth,redundant,busconnections,alternativeroute
Livonia Av,,L,EL771,EL,Street inside station house to passageway to Canarsie-bound platform,Y,Y,N,Street to Platform via passage,L,L26,135,135,"130, L","138, L",0,"B20, B60","If you are on the street: For southbound service to Canarsie-Rockaway Pkwy, exit the station and proceed to  Rockaway Av/Livonia Av. Take a Canarsie-bound B60 to Rockaway Pkwy/Farragut Road. Proceed down Rockaway Pkwy to the Canarsie-Rockaway Pkwy L station. For northbound service to Manhattan, exit the station and proceed to Rockaway Av/Livonia Av. Take a Williamsburg Bridge Plaza-bound B60 to Wilson Av/Decatur St. Proceed down Wilson Av to the Wilson Av L station. OR Exit the station and proceed to Pennsylvania Av/Livonia Av. Take a Ridgewood-bound B20 to Decatur St/Wilson Av. Proceed along Wilson Av to the Wilson Av L station. If you are on the passageway: Go back to the Manhattan-bound platform using EL772 and take a Manhattan-bound L to Wilson Ave. Exit the station and proceed to Wilson Av/Cooper St. Take a Canarsie-bound B60 to Rockaway Av/Livonia Av to Rockaway Av/Livonia Av. Proceed to the Livonia Av L station. OR Exit the station and proceed to Wilson Av/Schaefer St. Take a Spring Creek-bound B20 to Pennsylvania Av/Livonia Av. Proceed to the Livonia Av L station. If you are on the platform: Take a Canarsie-Rockaway Pkwy-bound L to Canarsie-Rockaway Pkwy. Exit the station and proceed to Rockaway Pkwy/Glenwood Rd. Take a Williamsburg Bridge Plaza-bound B60 to Rockaway Av/Livonia Av. Proceed to the Livonia Av L station."
Lorimer St,,G/L,EL776,EL,NW corner of Lorimer St and Metropolitan Ave providing access to the mezzanine control area.,Y,Y,N,Street to mezzanine.,L,G29/L10,121/285,629,"120, L","123, L",0,"B24, B48, Q54, Q59","The closest accessible L station is Bedford Av. Travel west on Metropolitan Av to Meeker Av. Take Meeker Av to North 7 St and travel four blocks west to Bedford Av. The elevator (EL359) is located at the NE corner. 
Or, for Canarsie-bound service, take a Rego Park-bound Q59 bus (Metropolitan Av and Rodney St) to Grand St and Bushwick Av. Elevator access to Canarsie-bound service at Grand St L (EL786) is located on the NE corner, elevator access (EL785) to Manhattan-bound L is located on the NW corner. 
If you are on the mezzanine: 
Take a Manhattan-bound L to Bedford Av and use the elevators to exit the station. Travel east on North 7 St to Meeker Av. Take Meeker Av to Metropolitan Av, and Metropolitan Av to Lorimer St. 
Or, take a Canarsie-bound L to Grand St and use the elevator to exit the station. Then, take a Williamsburg-bound Q59 bus (north side of Grand St west of Bushwick Av) to Metropolitan Av and Macri Sq."
Lorimer St,,G/L,EL778,EL,Mezzanine to Canarsie-bound platform.,Y,Y,N,Mezzanine to southbound platform.,L,G29/L10,121/285,629,"120, L","123, L",0,"B24, B48, Q54, Q59","If you are on the mezzanine:
Use nearby elevator EL777 to take a Manhattan-bound L to Bedford Av and transfer across the platform for a Canarsie-bound L. 
Or, exit the station and take a Rego Park-bound Q59 bus (Metropolitan Av and Rodney St) to Grand St and Bushwick Av. Elevator access (EL786) to Canarsie-bound service at Grand St L is located on the NE corner. 
If you are on the platform:
Take a Canarsie-bound L to Grand St and use the elevator to exit the station. 
Then either: 
Cross Bushwick Av to use the elevator (EL785) for Manhattan-bound service back to Lorimer St. 
Or, take a Williamsburg-bound Q59 bus (north side of Grand St west of Bushwick Av) to Metropolitan Av and Macri Sq."
Lorimer St,,G/L,EL777,EL,Mezzanine to Manhattan-bound platform.,Y,Y,N,Mezzanine to northbound platform.,L,G29/L10,121/285,629,"120, L","123, L",0,"B24, B48, Q54, Q59","If you are on the mezzanine:
Take a Canarsie-bound L to Grand St and use the elevator to exit the station. Cross Bushwick Av to use the elevator (EL785) for Manhattan-bound service. 
Or, exit the station and travel to Bedford Av (L). Travel west on Metropolitan Av to Meeker Av. Take Meeker Av to North 7 St and travel four blocks west to Bedford Av. Use elevator EL359 at the northeast corner to access Bedford Av (L) station. 
If you are on the platform: 
Take a Manhattan-bound L to Bedford Av. 
Then either: 
Transfer across the platform to a Canarsie-bound L to Lorimer St. 
Or, exit the station and travel east on North 7 St to Meeker Av. Take Meeker Av to Metropolitan Av, and Metropolitan Av to Lorimer St."
Marcy Av,,M/J/Z,EL392,EL,Marcy Ave & Broadway (SW corner) to Jamaica Center bound-platform,Y,Y,N,Street to Queens-bound platform,M/J/Z,M16,101,101,"230, M / 279, Z / 98, J","105, J, Z / 98, M",0,"B24, B32, B39, B46, B44, B44 SBS, B60, B62, Q54, Q59","If you are on the street: Take a Kings Plaza-bound B46 bus to Flushing Av for Jamaica-bound service. If you are on the platform: Contact a station agent to re-enter through the faregate and take a Queens-bound J or M to Flushing Av, then use the elevator to exit the station and take a Williamsburg-bound B46 bus to Marcy Av."
Marcy Av,,M/J/Z,EL391,EL,Marcy Ave & Broadway (NW corner) to Manhattan-bound platform,Y,Y,N,Street to Manhattan-bound platform,M/J/Z,M16,101,101,"230, M / 279, Z / 98, J","105, J, Z / 98, M",0,"B24, B32, B39, B46, B44, B44 SBS, B60, B62, Q54, Q59","Take a Kings Plaza-bound B46 bus (Broadway & Marcy Av) to Flushing Av for Manhattan-bound J/M service.
If you are on the platform: See a station agent to re-enter through the faregate and take a Manhattan-bound J or Z to Chambers St. Then, use elevators to transfer to a Brooklyn-bound J or Z to Flushing Av and take a Williamsburg-bound B46 bus to Marcy Av."
Metropolitan Av,,G/L,EL781,EL,Mezzanine to Church Av-bound platform.,Y,Y,N,Mezzanine to Church Av-bound platform.,G,G29/L10,121/285,629,"283, G","240, G",0,"B24, B48, Q54, Q59","If you are on the mezzanine: 
Use nearby elevator EL780 to take a Court Sq-bound G to Greenpoint Av. Use elevators to transfer to a Church Av-bound G. 
If you are on the platform: 
Take a Church Av-bound G to 7 Av station. Then, use elevators to transfer to a Court Sq-bound G back to Metropolitan Av station.

<a href=""https://new.mta.info/document/143426"" target=""_blank"" rel=""noopener noreferrer"">See alternatives during modernization work.</a>
"
Metropolitan Av,,G/L,EL780,EL,Mezzanine to Queens-bound platform.,Y,Y,N,Mezzanine to Queens-bound platform.,G,G29/L10,121/285,629,"283, G","240, G",0,"B24, B48, Q54, Q59","If you are on the mezzanine: 
Use elevator EL779 to exit the station. Then, either: 
Travel east on Metropolitan Av to Graham Av and take a Greenpoint-bound B43 bus to Manhattan Av and Greenpoint Av. Use the elevator (EL763) to access Greenpoint Av (G) station.
Or, travel one block west to Lorimer St and take a Manhattan-bound L to Bedford Av. Then, transfer to a Long Island City-bound B62 bus (Bedford Av and North 5 St) to Manhattan Av and Greenpoint Av. Use the elevator (EL763) to access Greenpoint Av (G) station. 
If you are on the platform: 
Take a Court Sq-bound G to Greenpoint Av. 
Then, either: 
Transfer to a Church Av-bound G back to Metropolitan Av and use elevators to exit the station. 
Or, use elevators to exit the station and take a Lefferts Gardens-bound B43 bus (Manhattan Av and Calyer St) to Graham Av and Metropolitan Av. Travel west on Metropolitan Av to Union Av.

<a href=""https://new.mta.info/document/143426"" target=""_blank"" rel=""noopener noreferrer"">See alternatives during modernization work.</a>
"
Metropolitan Av,,G/L,EL779,EL,SE corner of Metropolitan Avenue and Union Avenue  to the mezzanine control area.,Y,Y,N,Street to mezzanine.,G,G29/L10,121/285,629,"283, G","240, G",0,"B24, B48, Q54, Q59","If you are on the street: 
Travel east on Metropolitan Av to Graham Av and take a Greenpoint-bound B43 bus to Manhattan Av and Greenpoint Av. Use the elevator (EL763) to access Greenpoint Av (G) station.
Or, travel one block west to Lorimer St and take a Manhattan-bound L to Bedford Av. Then, transfer to a Long Island City-bound B62 bus (Bedford Av and North 5 St) to Manhattan Av and Greenpoint Av. Use the elevator (EL763) to access Greenpoint Av (G) station. 
If you are in the mezzanine: 
Take a Court Sq-bound G to Greenpoint Av. Then, exit the station and take a Lefferts Gardens-bound B43 bus (Manhattan Av and Calyer St) to Graham Av and Metropolitan Av. Travel west on Metropolitan Av to Union Av."
Myrtle-Wyckoff Avs,,M/L,ES332,ES,L lower mezzanine to upper mezzanine for M service,N,Y,N,L mezzanine to M mezzanine,M/L,L17/M08,112/128,630,,,0,"B13, B26, B52, B54, Q55, Q58",
Myrtle-Wyckoff Avs,,M/L,ES333,ES,M upper mezzanine to lower mezzanine for L service,N,Y,N,M mezzanine to L mezzanine,M/L,L17/M08,112/128,630,,,0,"B13, B26, B52, B54, Q55, Q58",
Myrtle-Wyckoff Avs,,M/L,EL398,EL,mezzanine to M platform for service in both directions,Y,Y,N,Mezzanine to M platform,M,L17/M08,112/128,630,"98, M","108, M",0,"B13, B26, B52, B54, Q55, Q58","If you are on the mezzanine: Use the elevator at the other end of the corridor to exit the station, then either: To Middle Village-Metropolitan Av, take a Flushing-bound Q58 bus (Palmetto St between Myrtle Av and St. Nicholas Av) to Fresh Pond Rd and Bleecker St. Then transfer to a Jamaica-bound Q54 bus to Middle Village-Metropolitan Av M Station. Or, to Manhattan, take a Downtown-bound B54 bus (Myrtle Av) to Broadway. Then transfer to a Williamsburg-bound B46 bus to Flushing Av J/M Station. If you are on the platform: Take a Manhattan-bound M to Flushing Av. Then use the elevator to exit the station and take a Kings Plaza-bound B46 bus to Myrtle Av and transfer to a Ridgewood-bound B54 bus to Myrtle-Wyckoff Avs."
Myrtle-Wyckoff Avs,,M/L,EL397,EL,mezzanine to L platform for service in both directions,Y,Y,N,Mezzanine to L platform,L,L17/M08,112/128,630,"123, L","130, L",0,"B13, B26, B52, B54, Q55, Q58","Through June 28, 2025: 

If you are on the mezzanine:  
Use the elevator at the other end of the mezzanine to exit the station. Take a Downtown Brooklyn-bound B52 bus (Gates Av and Wyckoff Av) to Wilson Av and transfer to a Canarsie-bound B60 bus. Then for Manhattan-bound L, transfer at Cooper St for Wilson Av L Station. For Canarsie-bound L, take the B60 bus to Rockaway Av & Livonia Av, then travel three blocks east to Livonia Av L station.  

If you are on the platform:  
Take a Manhattan-bound L train to Grand St. Then, exit the station and take a Canarsie-bound B60 (Montrose Av & Bushwick Av) to Wilson Av & Gates Av.  
Or,  
Take a Canarsie-bound L train to Livonia Av. Then, exit the station and proceed to Rockaway Av/Livonia Av. Take a Williamsburg Bridge Plaza-bound B60 bus to Wilson Av & Gates Av.  
Then, either: 
Transfer to a Ridgewood-bound B52 bus to Palmetto St & Wyckoff Av,  
Or, travel three blocks north to Myrtle-Wyckoff station.

Effective June 29, 2025:

If you are on the mezzanine:  
Use the elevator at the other end of the mezzanine to exit the station. Take a Downtown Brooklyn-bound B52 bus (Myrtle Av and Gates Av) to Wilson Av and transfer to a Canarsie-bound B60 bus. Then for Manhattan-bound L, transfer at Cooper St for Wilson Av L Station. For Canarsie-bound L, take the B60 bus to Rockaway Av & Livonia Av, then travel three blocks east to Livonia Av L station.  

If you are on the platform:  
Take a Manhattan-bound L train to Grand St. Then, exit the station and take a Canarsie-bound B60 (Montrose Av & Bushwick Av) to Wilson Av & Gates Av.  
Or,  
Take a Canarsie-bound L train to Livonia Av. Then, exit the station and proceed to Rockaway Av/Livonia Av. Take a Williamsburg Bridge Plaza-bound B60 bus to Wilson Av & Gates Av.  
Then, either: 
Transfer to a Ridgewood-bound B52 bus to Gates Av and Wyckoff Av,  
Or, travel three blocks north to Myrtle-Wyckoff station."
